station_id,status,return_code,attempts,duration_s,log_path,output_snippet
16,ok,0,1,3.36,logs/station_16.log,"Database initialized.
Total records available: 20360

Training model for Station 16...
  Epoch 1/30 | Train Loss: 0.2730 | Val Loss: 0.0572
    -> Saved models/model_station_16.pt and models/scaler_station_16.joblib
  Epoch 2/30 | Train Loss: 0.0661 | Val Loss: 0.0412
    -> Saved models/model_station_16.pt and models/scaler_station_16.joblib
  Epoch 3/30 | Train Loss: 0.0495 | Val Loss: 0.0301
  "
15,ok,0,1,3.36,logs/station_15.log,"Database initialized.
Total records available: 20360

Training model for Station 15...
  Epoch 1/30 | Train Loss: 0.3155 | Val Loss: 0.0550
    -> Saved models/model_station_15.pt and models/scaler_station_15.joblib
  Epoch 2/30 | Train Loss: 0.0845 | Val Loss: 0.0576
  Epoch 3/30 | Train Loss: 0.0632 | Val Loss: 0.0443
    -> Saved models/model_station_15.pt and models/scaler_station_15.joblib
  "
17,ok,0,1,3.39,logs/station_17.log,"Database initialized.
Total records available: 20360

Training model for Station 17...
  Epoch 1/30 | Train Loss: 0.2162 | Val Loss: 0.0421
    -> Saved models/model_station_17.pt and models/scaler_station_17.joblib
  Epoch 2/30 | Train Loss: 0.0711 | Val Loss: 0.0395
    -> Saved models/model_station_17.pt and models/scaler_station_17.joblib
  Epoch 3/30 | Train Loss: 0.0467 | Val Loss: 0.0291
  "
18,ok,0,1,3.39,logs/station_18.log,"Database initialized.
Total records available: 20360

Training model for Station 18...
  Epoch 1/30 | Train Loss: 0.3337 | Val Loss: 0.0887
    -> Saved models/model_station_18.pt and models/scaler_station_18.joblib
  Epoch 2/30 | Train Loss: 0.0923 | Val Loss: 0.0829
    -> Saved models/model_station_18.pt and models/scaler_station_18.joblib
  Epoch 3/30 | Train Loss: 0.0604 | Val Loss: 0.0555
  "
19,ok,0,1,3.32,logs/station_19.log,"Database initialized.
Total records available: 20360

Training model for Station 19...
  Epoch 1/30 | Train Loss: 0.2124 | Val Loss: 0.0575
    -> Saved models/model_station_19.pt and models/scaler_station_19.joblib
  Epoch 2/30 | Train Loss: 0.0638 | Val Loss: 0.0497
    -> Saved models/model_station_19.pt and models/scaler_station_19.joblib
  Epoch 3/30 | Train Loss: 0.0474 | Val Loss: 0.0299
  "
20,ok,0,1,3.32,logs/station_20.log,"Database initialized.
Total records available: 20360

Training model for Station 20...
  Epoch 1/30 | Train Loss: 0.1771 | Val Loss: 0.0543
    -> Saved models/model_station_20.pt and models/scaler_station_20.joblib
  Epoch 2/30 | Train Loss: 0.0655 | Val Loss: 0.0521
    -> Saved models/model_station_20.pt and models/scaler_station_20.joblib
  Epoch 3/30 | Train Loss: 0.0534 | Val Loss: 0.0413
  "
21,ok,0,1,3.37,logs/station_21.log,"Database initialized.
Total records available: 20360

Training model for Station 21...
  Epoch 1/30 | Train Loss: 0.2304 | Val Loss: 0.0356
    -> Saved models/model_station_21.pt and models/scaler_station_21.joblib
  Epoch 2/30 | Train Loss: 0.0634 | Val Loss: 0.0452
  Epoch 3/30 | Train Loss: 0.0496 | Val Loss: 0.0357
  Epoch 4/30 | Train Loss: 0.0430 | Val Loss: 0.0337
    -> Saved models/model"
22,ok,0,1,3.37,logs/station_22.log,"Database initialized.
Total records available: 20360

Training model for Station 22...
  Epoch 1/30 | Train Loss: 0.2522 | Val Loss: 0.0966
    -> Saved models/model_station_22.pt and models/scaler_station_22.joblib
  Epoch 2/30 | Train Loss: 0.0963 | Val Loss: 0.0916
    -> Saved models/model_station_22.pt and models/scaler_station_22.joblib
  Epoch 3/30 | Train Loss: 0.0779 | Val Loss: 0.0784
  "
24,ok,0,1,3.34,logs/station_24.log,"Database initialized.
Total records available: 20360

Training model for Station 24...
  Epoch 1/30 | Train Loss: 0.3193 | Val Loss: 0.0606
    -> Saved models/model_station_24.pt and models/scaler_station_24.joblib
  Epoch 2/30 | Train Loss: 0.0789 | Val Loss: 0.0727
  Epoch 3/30 | Train Loss: 0.0609 | Val Loss: 0.0482
    -> Saved models/model_station_24.pt and models/scaler_station_24.joblib
  "
23,ok,0,1,3.35,logs/station_23.log,"Database initialized.
Total records available: 20360

Training model for Station 23...
  Epoch 1/30 | Train Loss: 0.3367 | Val Loss: 0.0591
    -> Saved models/model_station_23.pt and models/scaler_station_23.joblib
  Epoch 2/30 | Train Loss: 0.0764 | Val Loss: 0.0671
  Epoch 3/30 | Train Loss: 0.0469 | Val Loss: 0.0477
    -> Saved models/model_station_23.pt and models/scaler_station_23.joblib
  "
25,ok,0,1,3.33,logs/station_25.log,"Database initialized.
Total records available: 20360

Training model for Station 25...
  Epoch 1/30 | Train Loss: 0.4343 | Val Loss: 0.0887
    -> Saved models/model_station_25.pt and models/scaler_station_25.joblib
  Epoch 2/30 | Train Loss: 0.0726 | Val Loss: 0.0901
  Epoch 3/30 | Train Loss: 0.0509 | Val Loss: 0.0597
    -> Saved models/model_station_25.pt and models/scaler_station_25.joblib
  "
26,ok,0,1,3.33,logs/station_26.log,"Database initialized.
Total records available: 20360

Training model for Station 26...
  Epoch 1/30 | Train Loss: 0.2218 | Val Loss: 0.0477
    -> Saved models/model_station_26.pt and models/scaler_station_26.joblib
  Epoch 2/30 | Train Loss: 0.0679 | Val Loss: 0.0442
    -> Saved models/model_station_26.pt and models/scaler_station_26.joblib
  Epoch 3/30 | Train Loss: 0.0515 | Val Loss: 0.0455
  "
28,ok,0,1,3.41,logs/station_28.log,"Database initialized.
Total records available: 20360

Training model for Station 28...
  Epoch 1/30 | Train Loss: 0.3132 | Val Loss: 0.1720
    -> Saved models/model_station_28.pt and models/scaler_station_28.joblib
  Epoch 2/30 | Train Loss: 0.0781 | Val Loss: 0.0551
    -> Saved models/model_station_28.pt and models/scaler_station_28.joblib
  Epoch 3/30 | Train Loss: 0.0589 | Val Loss: 0.0415
  "
27,ok,0,1,3.41,logs/station_27.log,"Database initialized.
Total records available: 20360

Training model for Station 27...
  Epoch 1/30 | Train Loss: 0.3185 | Val Loss: 0.0547
    -> Saved models/model_station_27.pt and models/scaler_station_27.joblib
  Epoch 2/30 | Train Loss: 0.0707 | Val Loss: 0.0577
  Epoch 3/30 | Train Loss: 0.0481 | Val Loss: 0.0373
    -> Saved models/model_station_27.pt and models/scaler_station_27.joblib
  "
29,ok,0,1,3.44,logs/station_29.log,"Database initialized.
Total records available: 20360

Training model for Station 29...
  Epoch 1/30 | Train Loss: 0.2546 | Val Loss: 0.0489
    -> Saved models/model_station_29.pt and models/scaler_station_29.joblib
  Epoch 2/30 | Train Loss: 0.0667 | Val Loss: 0.0450
    -> Saved models/model_station_29.pt and models/scaler_station_29.joblib
  Epoch 3/30 | Train Loss: 0.0514 | Val Loss: 0.0344
  "
30,ok,0,1,3.44,logs/station_30.log,"Database initialized.
Total records available: 20360

Training model for Station 30...
  Epoch 1/30 | Train Loss: 0.3386 | Val Loss: 0.0674
    -> Saved models/model_station_30.pt and models/scaler_station_30.joblib
  Epoch 2/30 | Train Loss: 0.0752 | Val Loss: 0.0598
    -> Saved models/model_station_30.pt and models/scaler_station_30.joblib
  Epoch 3/30 | Train Loss: 0.0464 | Val Loss: 0.0374
  "
